Categoria;Grupo
Supermercado;COMIDA
Retirada dinero;OTROS
Carniceria y Charcuteria;COMIDA
Panaderia y Cafeteria;COMIDA
Pescaderia;COMIDA
Ropa y Complementos;MODA Y BELLEZA
Fruteria y Verduleria;COMIDA
Farmacia;OTROS
Otros;OTROS
Hogar;OTROS
Peluqueria y estetica;MODA Y BELLEZA
Dietetica;OTROS
Perros;OTROS
Congelados;COMIDA
Ferreteria y Drogueria;OTROS
Teletac;OTROS
Mantenimiento;OTROS
Suscripcion mensual;OTROS
Suscripcion anual;OTROS
Gastos Comunidad;GASTOS GENERALES
Seguro Vida/Salud;GASTOS GENERALES
Telefonia;GASTOS GENERALES
Gas y Luz;GASTOS GENERALES
Agua;GASTOS GENERALES
Consulta Medica;OTROS
Mantenimiento Cuenta;GASTOS GENERALES
Seguro Piso;GASTOS GENERALES
Seguro Coche;GASTOS GENERALES
Transferencia;TRABUCO
Autonomos/LEX Valles;OTROS
Parking;GASTOS GENERALES
Impuesto;GASTOS GENERALES
Mantenimiento Nieves;TRABUCO
Deporte;OTROS
Electrodomesticos;OTROS
Gastos Comunidad Burgos;BURGOS
Seguro Piso Burgos;BURGOS
Impuesto Burgos;BURGOS
Impuesto Coche;GASTOS GENERALES
